Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,0.165830815971687,0.0380999957330949,6.72797849281136E-08,0,0,0,4.1454834394796,0.0149485429992683,1.04400709349348E-09,5.33566489153261E-08,0.0416904644531089,2.30763106835205E-09,0.0303553236657052,0,0,0,0,0,0,package://v1/meshes/Body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v1/meshes/Body.STL,,RobotBodyV2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RUHumerus,0.022663870266748,0.0229280125509594,6.1824736996563E-09,0,0,0,0.0562874205713042,2.50946970925149E-05,3.4486496266809E-11,-5.34572357123268E-13,1.43324424769428E-05,1.14161602736865E-11,2.96716786302372E-05,0,0,0,0,0,0,package://v1/meshes/RUHumerus.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v1/meshes/RUHumerus.STL,,Humerus Upper-3,Origin_RShoulder1,Axis_RShoulder1,RShoulder1,continuous,0.27432,-0.121591734569834,0.0381,-1.5707963267949,0,-1.5707963267949,Body,1,0,0,,,,,,,,,,,,
RMHumerus,-3.47979352832706E-08,-0.0366746706630629,8.00093175046257E-09,0,0,0,0.138065758700322,0.000119183734385309,4.21016703711105E-10,-4.18291851727919E-10,4.2657289532051E-05,5.06938412517806E-10,0.000115572862627546,0,0,0,0,0,0,package://v1/meshes/RMHumerus.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v1/meshes/RMHumerus.STL,,Humerus Middle-3,Origin_RShoulder2,Axis_RShoulder2,RShoulder2,continuous,0.0226638309978741,0.0435575675675675,0,0,0,3.14159265358979,RUHumerus,0,0,1,,,,,,,,,,,,
RLHumerus,2.85344389228115E-08,0.0453008545995078,-4.65570371144253E-09,0,0,0,0.0924406074551832,4.46849531177572E-05,-6.06465987997696E-11,9.51259690740704E-13,2.73751063103821E-05,1.71846938484002E-11,4.75847417232106E-05,0,0,0,0,0,0,package://v1/meshes/RLHumerus.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v1/meshes/RLHumerus.STL,,Humerus Lower-3,Origin_RElbow1,Axis_RElbow1,RElbow1,continuous,0,-0.0606510810810811,0,0,0,3.14159265358979,RMHumerus,0,1,0,,,,,,,,,,,,
RRadius,2.77555756156289E-17,0.0770237882411253,-5.55111512312578E-17,0,0,0,0.225239465270569,0.000378632787785578,-6.3305156107752E-20,-4.37907769765193E-10,5.98927289877368E-05,-2.09871265964704E-19,0.000374806664124816,0,0,0,0,0,0,package://v1/meshes/RRadius.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v1/meshes/RRadius.STL,,Radius-1,Origin_RElbow2,Axis_RElbow2,RElbow2,continuous,0,0.0770237837837839,0,0,0,0,RLHumerus,1,0,0,,,,,,,,,,,,
RWrist,-1.80499076796181E-09,-0.00813891634217762,0.000367364016287702,0,0,0,0.0217142535290293,7.75538309862475E-06,1.02617800954508E-11,5.97746342751812E-13,7.35311825881284E-06,-1.27624632546519E-08,3.22756377894864E-06,0,0,0,0,0,0,package://v1/meshes/RWrist.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v1/meshes/RWrist.STL,,Hand Wrist-4,Origin_RWrist1,Axis_RWrist1,RWrist1,continuous,0,0.154047567567568,0,0,-1.5707963267949,0,RRadius,0,0,1,,,,,,,,,,,,
RPalm,0,-0.0177536698905907,0.00010964769997629,0,0,0,0.0490148886446744,2.56442431887875E-05,-4.01486163322907E-21,-4.04520461113371E-21,2.16885601889133E-05,1.03898130085659E-07,1.04314681776806E-05,0,0,0,0,0,0,package://v1/meshes/RPalm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v1/meshes/RPalm.STL,,Hand Lower-6,Origin_RWrist2,Axis_RWrist2,RWrist2,continuous,0,-0.0145142857142857,0.000276794871794883,0,0,0,RWrist,0,1,0,,,,,,,,,,,,
RRFinger1,-0.0126649206428162,-8.10090144964803E-09,0.00885223130661716,0,0,0,0.0104365547129789,6.47820598125229E-07,8.86969972156842E-13,2.14754646038546E-09,2.69169048002805E-06,1.76748155452918E-13,2.84642748020542E-06,0,0,0,0,0,0,package://v1/meshes/RRFinger1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v1/meshes/RRFinger1.STL,,Finger 1-1,Origin_RRKnuckle1,Axis_RRKnuckle1,RRKnuckle1,continuous,0,-0.0368300000000001,0.00144985698900574,0,0,0,RPalm,0,0,1,,,,,,,,,,,,
RRFInger2,-0.0128112396275469,-1.11022302462516E-16,0.00317499999999998,0,0,0,0.00367689699109764,1.20384568003435E-07,-3.45089830252734E-22,1.50632258559387E-22,5.13888456072003E-07,-2.23960766435866E-22,6.11743769207688E-07,0,0,0,0,0,0,package://v1/meshes/RRFInger2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v1/meshes/RRFInger2.STL,,Finger 2-3,Origin_RRKnuckle2,Axis_RRKnuckle2,RRKnuckle2,continuous,-0.0330199999999999,0,0.00562306608791727,0,0,-1.5707963267949,RRFinger1,0,0,1,,,,,,,,,,,,
RLFinger1,-0.0126649206428162,-8.10090133862573E-09,-0.0123144353600496,0,0,0,0.0104365547129788,6.47820598125228E-07,8.86969970337357E-13,2.1475464603851E-09,2.69169048002804E-06,1.76748158357981E-13,2.84642748020542E-06,0,0,0,0,0,0,package://v1/meshes/RLFinger1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v1/meshes/RLFinger1.STL,,Finger 1-3,Origin_RLKnuckle1,Axis_RLKnuckle1,RLKnuckle1,continuous,0,-0.0368300000000001,0.00144985698900574,0,0,0,RPalm,0,0,1,,,,,,,,,,,,
